"PlotVisit","DE"
"10.2014-08-29",2.50801955710998
"1016.2015-08-26",2.86060401888368
"1017.2015-08-26",2.79620858227848
"1018.2015-08-26",2.91605957018343
"1019.2015-08-26",2.59505823202585
"1020.2015-08-26",2.62122894956285
"1022.2015-07-28",3.15747810741686
"1023.2015-07-28",3.06914681976285
"1026.2015-07-29",2.33450826138903
"1028.2015-07-29",2.08869447264793
"1034.2015-07-28",3.02966924534126
"1035.2015-07-28",2.86421789441643
"1036.2015-07-17",3.08090469410947
"1037.2015-07-17",3.14655729613977
"1038.2015-07-17",2.92197559355381
"1039.2015-07-17",2.87118493463046
"1040.2015-07-17",3.07915946723946
"1041.2015-08-13",3.06417877006086
"1042.2015-08-13",2.9541760959208
"1043.2015-08-13",3.14007528276819
"1044.2015-08-13",2.93098872966776
"1045.2015-08-13",3.07454910773679
"1046.2015-08-04",1.82525874393225
"1047.2015-08-04",2.87023513232658
"1048.2015-08-04",1.84744001935798
"1049.2015-08-04",1.88461539328645
"1051.2015-08-24",3.17453083957905
"1052.2015-08-24",2.82566813971211
"1053.2015-08-24",2.9959182995206
"1055.2015-08-24",2.81763654798822
"1057.2015-07-27",1.84921172484001
"1059.2015-07-27",2.21039392439126
"106.2014-08-22",3.01036945262744
"1061.2015-07-29",1.93208885557204
"1063.2015-07-29",1.820186822621
"1065.2015-07-29",1.81232274761669
"1071.2015-08-26",3.03356436680883
"1072.2015-08-26",2.86459606814409
"1073.2015-08-26",2.70967532661509
"1074.2015-08-26",2.76993203421361
"1075.2015-08-26",2.98822557894366
"1076.2015-07-30",2.01934518358154
"1078.2015-07-30",2.25388547037569
"1079.2015-07-30",2.17864523187526
"108.2014-08-22",2.83846910685013
"1080.2015-07-30",2.14109097058172
"1081.2015-07-28",2.91751123331918
"1082.2015-07-28",3.17915408636575
"1083.2015-07-28",2.8869117764285
"1084.2015-07-28",3.0215365643628
"1085.2015-07-28",3.06268600744013
"1086.2015-08-03",2.89542027680308
"1087.2015-08-03",2.8020562543083
"1088.2015-08-03",2.96615074722588
"1089.2015-08-03",2.90866533494337
"109.2014-08-22",2.68575680944031
"1090.2015-08-03",3.07380214606534
"1091.2015-08-07",2.98494149456587
"1092.2015-08-07",2.91241750328083
"1093.2015-08-07",2.90943235890983
"1094.2015-08-07",2.83614919855594
"1095.2015-08-07",2.95003352749743
"1096.2015-08-11",2.9896430550595
"1097.2015-08-11",2.93267903934312
"1098.2015-08-11",3.02406632240057
"1099.2015-08-11",3.07442328281722
"11.2014-08-29",2.56623529589538
"1100.2015-08-11",3.02794345930656
"1101.2015-08-11",2.88123737936093
"1102.2015-08-11",2.78578002615836
"1103.2015-08-11",3.07510750221954
"1104.2015-08-11",2.85456749869349
"1105.2015-08-11",2.86878570324428
"12.2014-08-29",2.44929353777176
"1200.2015-07-16",2.84679300942367
"1201.2015-07-16",2.80825362680885
"1202.2015-07-16",2.91009529141636
"1203.2015-07-16",2.79109149049895
"1204.2015-07-16",3.04686047243636
"1205.2015-07-16",2.90045330874393
"1206.2015-07-16",3.07796574700264
"1207.2015-07-31",2.79139192807523
"1208.2015-07-31",2.76550786980617
"1209.2015-07-31",2.86800044510378
"1210.2015-08-27",2.84632548240773
"1211.2015-08-27",2.8444204070355
"1212.2015-07-21",2.90943561604245
"1213.2015-07-21",2.84976052270665
"1214.2015-07-21",2.86617302313082
"1215.2015-07-21",2.95358257809907
"1216.2015-07-21",2.94274232201313
"1217.2015-07-31",2.81951552703893
"1218.2015-07-31",2.8953356113601
"1219.2015-07-31",2.82343419876152
"122.2015-07-22",2.57783745468272
"1220.2015-07-31",2.86973440945189
"1221.2015-07-31",2.93455562300532
"1227.2015-07-22",2.83495979063252
"1228.2015-07-22",2.80866489429936
"1229.2015-07-22",3.09584498319263
"123.2015-07-22",3.01827434976426
"1230.2015-07-22",2.8178555927899
"1231.2015-07-22",2.80182524607548
"124.2015-07-22",2.7915784204151
"1241.2015-08-05",3.128811363875
"1242.2015-08-05",3.27758134868936
"1243.2015-08-05",3.22640369456587
"1245.2015-08-31",2.94288839036837
"1246.2015-08-31",2.94405364194626
"1247.2015-08-24",3.20621493380784
"1248.2015-08-24",3.02910366475141
"1249.2015-08-24",3.02663275609866
"125.2015-07-22",2.61732698192257
"1250.2015-08-24",3.16956167678103
"1251.2015-08-24",3.15492213986389
"1252.2015-08-31",3.23315398700352
"1254.2015-08-03",3.13809222463099
"1256.2015-08-03",3.12875658645066
"1257.2015-08-03",3.13399277400052
"1258.2015-08-27",3.18945415932624
"1259.2015-08-27",2.94045565935519
"1260.2015-08-17",3.14625538120019
"1261.2015-08-17",3.10551612817029
"1262.2015-08-17",3.21023581145671
"1263.2015-08-17",3.21709346413537
"1264.2015-08-17",3.15389072315657
"1265.2015-08-27",3.21084172767117
"1266.2015-08-27",3.23335512556478
"1267.2015-08-27",3.2602529302728
"1268.2015-08-31",3.19592555070594
"1269.2015-08-31",3.28053414761615
"131.2015-08-20",2.99106665649724
"132.2015-08-20",3.15290312107913
"133.2015-08-20",2.9543836828928
"134.2015-08-20",3.11339035599853
"135.2015-08-20",3.00761873436135
"141.2014-08-20",2.99741457882988
"144.2014-08-20",2.7710983069279
"145.2014-08-20",2.71037965893515
"146.2014-07-22",2.96754675044064
"147.2014-07-16",2.976368153809
"148.2014-07-22",3.12637811926592
"149.2014-07-22",3.20467970550521
"150.2014-07-22",2.96512356072794
"151.2015-08-18",3.05357537679909
"153.2015-08-18",3.15307236938556
"154.2015-08-18",2.86706156516489
"16.2015-07-23",1.83279499992371
"161.2014-08-04",3.05973193510278
"162.2014-08-04",2.79721638242867
"164.2014-08-04",2.96401782269216
"165.2014-08-04",3.06454283513078
"17.2015-07-23",1.87767198710137
"171.2014-08-22",3.11304981266286
"172.2014-08-12",3.04358076467742
"173.2014-08-22",3.09728951730037
"174.2014-08-12",3.11391687486869
"175.2014-08-22",3.09718009709131
"176.2015-08-18",3.0993417984077
"179.2015-08-18",3.15768696101966
"18.2015-07-23",1.84894122358066
"19.2015-07-23",1.90702399280514
"191.2015-08-04",1.98006438837911
"192.2015-08-04",1.8717019262809
"193.2015-08-04",1.92955401496811
"194.2015-08-03",1.91681816056245
"195.2015-08-04",2.10743938322565
"20.2015-07-21",2.45860470098339
"206.2014-08-26",1.81516393467412
"207.2014-08-26",2.28912450351414
"208.2014-08-26",2.02411399316796
"209.2014-08-26",2.30422749251339
"21.2015-07-21",3.14981746756979
"210.2014-08-26",1.82525874393225
"216.2015-08-03",3.12946542713271
"217.2015-08-03",2.59732267454854
"218.2015-08-03",2.0192638812039
"22.2015-07-21",2.48829312963981
"220.2015-08-03",2.64937870773609
"221.2015-08-28",2.28969056741875
"222.2015-08-28",2.41479461262997
"223.2015-08-28",2.48886773216623
"224.2015-08-28",2.38737666659436
"231.2015-08-19",2.30301717042636
"232.2015-08-19",2.53026698751444
"233.2015-08-19",2.00518746333019
"234.2015-08-19",1.97161579588805
"235.2015-08-19",2.27803348454148
"237.2014-08-29",1.77310849410561
"238.2014-08-29",2.34485120204025
"239.2014-08-29",1.88798228823947
"24.2015-07-21",2.51310828702211
"240.2014-08-29",2.31626735291341
"244.2014-07-24",1.93039352321603
"245.2014-07-24",1.75671695847489
"246.2014-07-24",1.88303589014676
"25.2014-08-28",2.16638443480265
"26.2014-08-28",2.37511175566726
"265.2014-07-24",1.82359367903387
"266.2014-07-24",1.8440602584199
"267.2014-07-24",2.11050085678826
"268.2014-07-29",2.61889391154904
"269.2014-07-29",1.92158395921
"27.2014-08-28",2.33663390005071
"270.2015-08-06",2.33943568576381
"279.2015-08-31",3.07965013175184
"28.2014-08-28",2.12519579708492
"280.2015-08-31",3.0356582369718
"281.2015-08-21",2.73332791873907
"282.2015-08-21",3.15772077088183
"283.2015-08-21",2.95942300691222
"284.2015-07-16",2.99067222595498
"285.2015-07-16",2.95118680395573
"286.2015-08-17",3.10133089926912
"287.2015-08-17",2.98992080669256
"288.2015-08-17",3.12115660283572
"289.2015-08-17",3.37688883684604
"29.2014-08-28",2.64692746033907
"291.2014-08-14",2.54393585738777
"293.2015-08-17",3.17226199794707
"294.2014-08-14",2.75422894043617
"300.2014-07-17",3.03038507335613
