"PlotVisit","PlotID","Date","Latitude","Longitude","GDMforb","GDMgrass","GDMshrub","GDMherb","GDMtotal","cc","cti","elev","gsri","slope","Year","cover_class","ndvi_dur","ndvi_ti","sum_precip","class_name","cc_std","cti_std","elev_std","gsri_std","ndvi_ti_std","sum_precip_std","slope_std","ndvi_dur_std"
"1026.2015-07-29",1026,2015-07-29,46.45065,-113.6879,0,0,46.012,0,46.012,45,5.43273049103348,2362.73716738802,469237.864822988,29.6559797115785,2015,"1",222.28346131845,47.1910712796305,146.019136892327,"Mesic Forest (Burn >15)",1.31861214024806,-0.477935826333246,2.59623235693376,-1.64326602419673,1.25325663839793,0.319394263047628,1.57023287138576,-0.0662403272504451
"1028.2015-07-29",1028,2015-07-29,46.45114,-113.68591,0,0,68.365,0,68.365,37.2490859813148,6.36403654190526,2414.26527195353,549254.268527979,16.0004722404436,2015,"1",218.361741444871,49.6290289431446,145.660366329658,"Mesic Forest (Burn >15)",0.923109153570742,0.0655890289375742,2.75124840277135,-0.191705888194411,1.45032924333909,0.304746760605389,0.0665316269888465,-0.161207115857912
"1038.2015-07-17",1038,2015-07-17,46.55197,-113.85443,0.323,0,64.306,0.323,64.629,27.4143426233572,6.03795426594406,1734.9507100638,625593.028517228,26.1855009984237,2015,"1",191.031890685673,26.593117288131,123.733987369113,"Mesic Forest (Burn >15)",0.421275387656125,-0.124717714675104,0.707613028406863,1.19313891488853,-0.411781483597985,-0.590440088017402,1.18807474429639,-0.823015772107954
"1048.2015-08-04",1048,2015-08-04,46.43445,-113.87841,0,0,27.749,0,27.749,45,6.95961582673454,1969.59851355482,637595.839354635,8.6565708694895,2015,"1",NA,37.2470868556536,135.831042214941,"Mesic Forest (Burn >15)",1.31861214024806,0.413178464533006,1.41352245333838,1.41087928967208,0.449433445216317,-0.0965544161269508,-0.742155538506455,NA
"1049.2015-08-04",1049,2015-08-04,46.43217,-113.87627,0,2.527,37.205,2.527,39.732,45,6.63905352612582,1931.22538476126,634431.171107223,13.7250908970224,2015,"1",296.562148887047,40.1734332958275,137.123571269946,"Mesic Forest (Burn >15)",1.31861214024806,0.226093265332877,1.29808155478115,1.3534697328948,0.685985016458169,-0.0437844164117512,-0.184026161860259,1.73246244800148
"1057.2015-07-27",1057,2015-07-27,46.41428,-113.6487,0,0,19.282,0,19.282,44.1421608259328,4.43280142032621,2124.32514352007,424070.227721304,30.9113019708246,2015,"1",170.623668698396,34.7064345718027,129.637563571161,"Mesic Forest (Burn >15)",1.27483950199991,-1.06151015501769,1.87899873206491,-2.46264228229435,0.244059508120744,-0.349415166144732,1.70846498376515,-1.31721305437107
"1059.2015-07-27",1059,2015-07-27,46.41322,-113.65273,0,0,15.475,0,15.475,45,5.39869427435144,2175.16823457877,457851.911577447,27.6564519520221,2015,"1",174.358591331899,49.1714807603771,129.658160101456,"Mesic Forest (Burn >15)",1.31861214024806,-0.497799897578952,2.03195399794433,-1.84981611988147,1.41334328020546,-0.348574272941171,1.35005120573865,-1.22676967247865
"1061.2015-07-29",1061,2015-07-29,46.44749,-113.68022,0,1.239,31.947,1.239,33.186,25,5.80703761429173,2361.02875518216,596327.256032381,16.50041278171,2015,"1",313.452369934052,45.425592434682,145.560700259993,"Mesic Forest (Burn >15)",0.298079630859162,-0.259484303544005,2.59109280625465,0.662234916191718,1.11054394073729,0.300677700457402,0.121583496398731,2.14146923670933
"1063.2015-07-29",1063,2015-07-29,46.4474,-113.67847,0,0.03,37.525,0.03,37.555,25,6.22296694724444,2305.30366428514,567868.941302576,21.1183976922218,2015,"1",NA,53.7482973238508,145.364554506097,"Mesic Forest (Burn >15)",0.298079630859162,-0.0167414047038298,2.42345063665353,0.145978832602996,1.78331080507278,0.292669670512434,0.630101372517301,NA
"1065.2015-07-29",1065,2015-07-29,46.44672,-113.67832,0,0.918,18.069,0.918,18.987,25,4.60675634228066,2311.42206197736,589657.101762174,20.6066932048007,2015,"1",NA,52.886507130634,145.454532670248,"Mesic Forest (Burn >15)",0.298079630859162,-0.959987327274397,2.44185709319035,0.54123310167236,1.71364788974341,0.296343203171708,0.573754094605806,NA
"1078.2015-07-30",1078,2015-07-30,46.51959,-113.72647,0.953,10.841,64.847,11.794,76.641,37.8773013484556,6.23968485270659,2019.56834165133,653078.972789872,16.4690619918238,2015,"1",123.186105390403,31.7772693569419,123.660479393298,"Mesic Forest (Burn >15)",0.955164863823985,-0.00698457220151623,1.5638506136311,1.69175543799107,0.00728008088344145,-0.593441193368066,0.118131246684516,-2.46594197738112
"1080.2015-07-30",1080,2015-07-30,46.51945,-113.72504,0,1.479,40.055,1.479,41.534,48.203300870622,5.37913147208443,2025.56798832836,643913.082758834,9.22574151366716,2015,"1",166.260359935891,19.3078819565902,123.837031188758,"Mesic Forest (Burn >15)",1.48206577403923,-0.509217056590122,1.58189982215792,1.52547902510591,-1.00068436976487,-0.586233124690565,-0.679480269371766,-1.42287318162022
"12.2014-08-29",12,2014-08-29,46.57597,-113.83202,1.712,1.04,91.429,2.752,94.181,29.0837524601354,6.07398606814522,1969.0181701224,634233.171740203,12.1169809708908,2014,"1",187.084296779079,30.2814601504634,182.015062269625,"Mesic Forest (Burn >15)",0.506459738152417,-0.103688988341587,1.41177656058955,1.34987786954165,-0.113633838676095,1.78899756871646,-0.361106135062471,-0.918609115875645
"122.2015-07-22",122,2015-07-22,46.71025,-113.89076,0,3.01,83.142,3.01,86.152,31.1707697941954,4.45853037131606,1392.93030108607,457814.976938309,19.7623790521366,2015,"1",175.486036835654,25.6097579024836,113.332918387431,"Mesic Forest (Burn >15)",0.612953190005733,-1.04649433465451,-0.321313842521809,-1.85048614311829,-0.491271459417966,-1.01508385527032,0.480780893521435,-1.19946790634721
"123.2015-07-22",123,2015-07-22,46.70776,-113.89333,0.582,1.349,5.55,1.931,7.481,40.2787589156137,4.45728294310517,1445.58958648075,469046.66907877,18.881248984802,2015,"1",212.142057901248,35.80399710932,113.383259216269,"Mesic Forest (Burn >15)",1.07770313968412,-1.04722235337312,-0.162894776512152,-1.64673446451184,0.332781109644611,-1.01302859352344,0.383753640486183,-0.311820466972524
"124.2015-07-22",124,2015-07-22,46.7101,-113.88985,0,10.585,218.897,10.585,229.482,34.5748078930538,6.32526115073396,1392.53247364697,501987.612843262,13.2996158816833,2015,"1",175.003741176472,26.3151479252164,113.351212019448,"Mesic Forest (Burn >15)",0.786649767159902,0.0429591009405184,-0.322510658066538,-1.0491599848199,-0.434251170936384,-1.01433698234502,-0.230878123340102,-1.21114698373883
"125.2015-07-22",125,2015-07-22,46.70846,-113.89109,0,1.827,260.512,1.827,262.339,25.7824888098186,5.84628579687283,1471.45089186942,479599.487175274,16.9625929274185,2015,"1",177.70462854495,30.1505027627362,113.375048847118,"Mesic Forest (Burn >15)",0.338007394291807,-0.236578447045952,-0.0850941794330865,-1.45529809194197,-0.124219795078014,-1.01336379773112,0.172477310612996,-1.1457433832668
"16.2015-07-23",16,2015-07-23,46.46618,-113.84541,0,0,149.806,0,149.806,30.2480879964549,6.43317283517711,1981.85131491625,503689.781504617,18.1875088776657,2015,"1",288.337811421176,45.3371994751833,135.87742621608,"Mesic Forest (Burn >15)",0.565871851484955,0.105938056799435,1.45038351845026,-1.01828131420773,1.10339868508024,-0.0946606995273609,0.307361176522913,1.53330520507349
"17.2015-07-23",17,2015-07-23,46.46541,-113.84467,0,0.126,52.378,0.126,52.504,35,6.14522622865916,2015.02053475404,490812.436235346,19.9806475617775,2015,"1",291.88964861146,42.0507363729601,136.402014211652,"Mesic Forest (Burn >15)",0.808345885553611,-0.0621121104757509,1.55016908879344,-1.25188642747085,0.837737039559877,-0.07324337953001,0.504815930685263,1.61931506362824
"18.2015-07-23",18,2015-07-23,46.46559,-113.84296,0,0.261,138.182,0.261,138.443,35.0449506718338,5.45908340488092,2011.36349164411,521363.354780297,16.0878724657555,2015,"1",291.984936360488,44.1241941456809,136.742207851007,"Mesic Forest (Burn >15)",0.810639566649875,-0.462555851435106,1.53916731864995,-0.697668874260088,1.00534525139264,-0.0593543159284008,0.0761558630591488,1.62162251337235
