cover_class,class_name,count,AveGDM,MedGDM,MinGDM,MaxGDM,SdGDM
1,Mesic Forest (Burn >15),60,506.8553,385.224,0.237,1966.36,456.018018576069
2,Dry Forest (Burn >15),89,196.262056179775,99.97,8.758,1370.161,257.395640105291
3,Grass/Shrub/Open Woodland,199,120.577974874372,47.5,0.432,1523.7,201.063671904629
4,Dry Ag,29,26.4358965517241,25.6,4.946,47.441,12.2176036355768
5,Valley Bottom Riparian,14,39.6506428571429,34.696,7.031,131.463,32.7508796513859
6,Montane Riparian,50,110.4759,40.1485,0.382,688.606,156.587193824549
7,Irrigated Ag,31,93.5231290322581,65.227,0.291,350.75,89.9778484994101
8,Dry Forest Burn 0-5,9,54.0967777777778,38.801,1.974,178.596,56.2574688214325
9,Dry Forest Burn 6-15,41,156.477731707317,155.739,16.6,375.981,91.1000784187435
10,Mesic Forest Burn 0-5,19,99.4318421052632,55.967,1.19,385.586,97.048513675872
11,Mesic Forest Burn 6-15,4,208.982,130.956,11.327,562.689,258.44015677264
12,Rx Dry Forest Burn 0-5,16,120.674875,103.754,4.181,461.412,111.413191960303
