"Species","LifeForm","NameScientific","Genus","Genus2","ForagePlant"
"POABUL","graminoid","Poa bulbosa","Poa","Poa sp","Yes"
"POACOM","graminoid","Poa compressa","Poa","Poa sp","Yes"
"POAFEN","graminoid","Poa fendleriana ","Poa","Poa sp","Yes"
"POAPAL","graminoid","Poa palustris","Poa","Poa sp","Yes"
"POAPRA","graminoid","Poa pratensis","Poa","Poa sp","Yes"
"POASEC","graminoid","Poa secunda","Poa","Poa sp","Yes"
"POA SP","graminoid","Poa sp.","Poa","Poa sp","Yes"
"POAWHE","graminoid","Poa wheeleri","Poa","Poa sp","Yes"
"AGRCRI","graminoid","Agropyron cristatum","Agropyron","Agropyron sp","Yes"
"AGRSMI","graminoid","Agropyron smithii","Agropyron","Agropyron sp","Yes"
"AGRO SP","graminoid","Agropyron sp.","Agropyron","Agropyron sp","Yes"
"LUPARG","forb","Lupinus argenteus","Lupinus","Lupinus sp","Yes"
"LUPLEU","forb","Lupinus leucophyllus","Lupinus","Lupinus sp","Yes"
"LUPSER","forb","Lupinus sericeus","Lupinus","Lupinus sp","Yes"
"LUPI SP","forb","Lupinus sp.","Lupinus","Lupinus sp","Yes"
"CARAQU","graminoid","Carex aquatilis","Carex","Carex sp","Yes"
"CARBEB","graminoid","Carex bebbii","Carex","Carex sp","Yes"
"CARBRE","graminoid","Carex brevior ","Carex","Carex sp","Yes"
"CARCON","graminoid","Carex concinnoides","Carex","Carex sp","Yes"
"CARGEY","graminoid","Carex geyeri","Carex","Carex sp","Yes"
"CARMIC","graminoid","Carex microptera","Carex","Carex sp","Yes"
"CARPAC","graminoid","Carex pachystachya","Carex","Carex sp","Yes"
"CARPEL","graminoid","Carex pellita","Carex","Carex sp","Yes"
"CARROS","graminoid","Carex rossii ","Carex","Carex sp","Yes"
"CARE SP","graminoid","Carex sp.","Carex","Carex sp","Yes"
"CARUTR","graminoid","Carex utriculata","Carex","Carex sp","Yes"
"CARVES","graminoid","Carex vesicaria","Carex","Carex sp","Yes"
"VERBLA","forb","Verbascum blattaria","Verbascum","Verbascum sp","Yes"
"VERTHA","forb","Verbascum thapsus","Verbascum","Verbascum sp","Yes"
"SALSCO","shrub","Salix scouleriana","Salix","Salix sp","Yes"
"SALI SP","shrub","Salix sp.","Salix","Salix sp","Yes"
"SHECAN","shrub","Shepherdia canadensis","Shepherdia","Shepherdia sp","Yes"
"PHYMAL","shrub","Physocarpus malvaceus","Physocarpus","Physocarpus sp","Yes"
"CENSTO","forb","Centaurea stoebe","Centaurea","Centaurea sp","Yes"
"TRIARV","forb","Trifolium arvense","Trifolium","Trifolium sp","Yes"
"TRIAUR","forb","Trifolium aureum","Trifolium","Trifolium sp","Yes"
"TRIDUB","forb","Trifolium dubium","Trifolium","Trifolium sp","Yes"
"TRIGYM","forb","Trifolium gymnocarpon","Trifolium","Trifolium sp","Yes"
"TRIPRA","forb","Trifolium pratense","Trifolium","Trifolium sp","Yes"
"TRIREP","forb","Trifolium repens","Trifolium","Trifolium sp","Yes"
"TRIF SP","forb","Trifolium sp.","Trifolium","Trifolium sp","Yes"
"ALOPRA","graminoid","Alopecurus pratensis","Alopecurus","Alopecurus sp","Yes"
"ASTINF","forb","Astragalus inflexus","Astragalus","Astragalus sp","Yes"
"ASTMIS","forb","Astragalus miser","Astragalus","Astragalus sp","Yes"
"ASTR SP","forb","Astragalus sp.","Astragalus","Astragalus sp","Yes"
"RANGLA","forb","Ranunculus glaberrimus","Ranunculus","Ranunculus sp","Yes"
"RANU SP","forb","Ranunculus sp.","Ranunculus","Ranunculus sp","Yes"
"RANUNC","forb","Ranunculus uncinatus","Ranunculus","Ranunculus sp","Yes"
"GALBOR","forb","Galium boreale","Galium","Galium sp","Yes"
"GALTRI","forb","Galium triflorum","Galium","Galium sp","Yes"
"CIRS SP","forb","Cirsium  sp.","Cirsium","Cirsium sp","Yes"
"CIRARV","forb","Cirsium arvense","Cirsium","Cirsium sp","Yes"
"CIRHOO","forb","Cirsium hookerianum","Cirsium","Cirsium sp","Yes"
"CIRVUL","forb","Cirsium vulgare","Cirsium","Cirsium sp","Yes"
"VACCAE","shrub","Vaccinium caespitosum","Vaccinium","Vaccinium sp","Yes"
"VACMEM","shrub","Vaccinium membranaceum","Vaccinium","Vaccinium sp","Yes"
"VACSCO","shrub","Vaccinium scoparium","Vaccinium","Vaccinium sp","Yes"
"TAROFF","forb","Taraxacum officinale","Taraxacum","Taraxacum sp","Yes"
"EQUARV","forb","Equisetum arvense","Equisetum","Equisetum sp","Yes"
"EQUHYE","forb","Equisetum hyemale","Equisetum","Equisetum sp","Yes"
"EQULAE","forb","Equisetum laevigatum ","Equisetum","Equisetum sp","Yes"
"EQUVAR","forb","Equisetum variegatum","Equisetum","Equisetum sp","Yes"
"POPBAL","tree","Populus balsamifera","Populus","Populus sp","Yes"
"POPTRE","tree","Populus tremuloides","Populus","Populus sp","Yes"
"PINALB","tree","Pinus albicaulis ","Pinus","Pinus sp","Yes"
"PINCON","tree","Pinus contorta","Pinus","Pinus sp","Yes"
"PINPON","tree","Pinus ponderosa","Pinus","Pinus sp","Yes"
"SOLMIS","forb","Solidago missouriensis","Solidago","Solidago sp","Yes"
"POTANS","forb","Potentilla anserina","Potentilla","Potentilla sp","Yes"
"POTARG","forb","Potentilla argentea","Potentilla","Potentilla sp","Yes"
"POTGRA","forb","Potentilla gracilis","Potentilla","Potentilla sp","Yes"
"POTREC","forb","Potentilla recta","Potentilla","Potentilla sp","Yes"
"POTE SP","forb","Potentilla sp.","Potentilla","Potentilla sp","Yes"
"BROTEC","graminoid","Bromus tectorum","Bromus","Bromus sp","Yes"
"MEDSAT","forb","Medicago sativa","Medicago","Medicago sp","Yes"
"STICOM","graminoid","Stipa comata","Stipa","Stipa sp","Yes"
"BALSAG","forb","Balsamorhiza sagittata","Balsamorhiza","Balsamorhiza sp","Yes"
"ELYGLA","graminoid","Elymus glaucus","Elymus","Elymus sp","Yes"
"FESCAM","graminoid","Festuca campestris","Festuca","Festuca sp","Yes"
"BROINE","graminoid","Bromus inermis","Bromus","Bromus sp","Yes"
"PSESPI","graminoid","Pseudoroegneria spicata","Pseudoroegneria","Pseudoroegneria sp","Yes"
"CALRUB","graminoid","Calamagrostis rubescens","Calamagrostis","Calamagrostis sp","Yes"
"FESIDA","graminoid","Festuca idahoensis","Festuca","Festuca sp","Yes"
"PHLPRA","graminoid","Phleum pratense","Phleum","Phleum sp","Yes"
"ACHMIL","forb","Achillea millefolium","Achillea","Achillea sp","Yes"
"KOEMAC","graminoid","Koeleria macrantha","Koeleria","Koeleria sp","Yes"
"DACGLO","graminoid","Dactylis glomerata","Dactylis","Dactylis sp","Yes"
"ZEAMAY","graminoid","Zea mays","Zea","Zea sp","Yes"
"SYMALB","shrub","Symphoricarpos albus","Symphoricarpos","Symphoricarpos sp","Yes"
"ARIPUR","graminoid","Aristida purpurea var. longiseta","Aristida","Aristida sp","Yes"
"TRIAES","graminoid","Triticum aestivum","Triticum","Triticum sp","Yes"
"CHAANG","forb","Chamerion angustifolium","Chamerion","Chamerion sp","Yes"
"THIINT","graminoid","Thinopyrum intermedium","Thinopyrum","Thinopyrum sp","Yes"
