"PlotID","Date","Collector","Latitude","Longitude","Site Description","Ecosystem Class","Additional Class","Aspect","Elevation _m","Comments","Densio10","Densio20","Densio30","Densio40","Percent_Canopy_Cover","Prism_Hits","Dominant_Tree","Second_Tree","Tree_Size_Class"
5.00,7/17/2014 0:00:00,"RAD",46.45,-113.83,"Forest","Rocky Mountain Lodgepole Pine Forest",,"181",1941.00,"0",18.00,8.00,23.00,24.00,"60.7",11.00,"PINCON",,
7.00,7/17/2014 0:00:00,"RD",46.45,-113.83,"Forest","Rocky Mountain Lodgepole Pine Forest",,"35",1928.00,"0",24.00,16.00,23.00,21.00,"69.9",11.00,"PINCON",,
8.00,8/29/2014 0:00:00,"MB TA",46.57,-113.82,"Forest","Rocky Mountain Lodgepole Pine Forest",,"328",1984.00,"GAP completed at this plot. Model species could not be collected in bag. not enough bags. initial measurements were taken for this plant.",7.00,9.00,5.00,7.00,"23.3",3.00,"PINCON",,
10.00,8/29/2014 0:00:00,"TA",46.57,-113.82,"Forest","Rocky Mountain Lodgepole Pine Forest",,"194",1962.00,"VACMEM was collected as a model species in bags. VACSCO model species was not collected in bags but initial measurements were taken of this plant. not enough bags to collect.",23.00,24.00,19.00,22.00,"73.2",6.00,"PINCON",,
11.00,8/29/2014 0:00:00,"MB TA",46.57,-113.83,"Forest","Rocky Mountain Lodgepole Pine Forest",,"164",1989.00,"Model Species could not be collected in bag and brought back to lab. not enough bags. initial measurements were taken for this species.",19.00,20.00,18.00,17.00,"61.6",14.00,"PINCON",,
12.00,8/29/2014 0:00:00,"TA",46.57,-113.83,"Forest","Rocky Mountain Lodgepole Pine Forest",,"218",1966.00,"0",2.00,8.00,13.00,20.00,"35.8",0.00,"PINCON",,
16.00,7/23/2015 0:00:00,"LS",46.46,-113.84,"0","MFLP","0","30",1990.24,"0",5.00,4.00,10.00,8.00,"6.75",9.00,"PINCON","ABILAS","2"
17.00,7/23/2015 0:00:00,"JM",46.46,-113.84,"0","MFLP","0","354",2017.45,"0",12.00,11.00,15.00,12.00,"12.5",10.00,"PINCON","ABILAS","2"
18.00,7/23/2015 0:00:00,"LS,KB",46.46,-113.84,"0","MFLP","0","24",2012.89,"0",8.00,9.00,8.00,7.00,"8",14.00,"PINCON","ABILAS","1"
19.00,7/23/2015 0:00:00,"JM",46.46,-113.84,"0","MFLP","0","26",2036.69,"0",18.00,15.00,13.00,12.00,"14.5",5.00,"PINCON","ABILAS","2"
20.00,7/21/2015 0:00:00,"EF",46.75,-113.88,"0","FMC","0","180",1910.49,"0",17.00,15.00,21.00,18.00,"17.75",13.00,"PSEMEN","PINCON","3"
21.00,7/21/2015 0:00:00,"JM",46.74,-113.88,"0","FMC","0","215",1802.97,"0",9.00,1.00,23.00,14.00,"11.75",4.00,"PSEMEN","0","3"
22.00,7/21/2015 0:00:00,"JM",46.75,-113.88,"0","FMC","0","162",1947.74,"0",0.00,3.00,17.00,4.00,"6",8.00,"PSEMEN","PINCON","3"
24.00,7/21/2015 0:00:00,"EF",46.74,-113.88,"0","MFDSF","0","60",1820.38,"0",8.00,11.00,14.00,2.00,"8.75",11.00,"PSEMEN","ABILAS","2"
25.00,8/28/2014 0:00:00,"JM",46.75,-113.84,"Forest","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",,"120",1670.00,"0",21.00,24.00,22.00,23.00,"74.9",6.00,"ABILAS",,
26.00,8/28/2014 0:00:00,"JM",46.75,-113.84,"Forest","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",,"120",1729.00,"Labeled as decid forest",18.00,12.00,17.00,17.00,"53.2",6.00,"PSEMEN",,
27.00,8/28/2014 0:00:00,"EF JM",46.75,-113.84,"Forest","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",,"135",1728.00,"Habitat changed from deciduous forest.",24.00,17.00,5.00,14.00,"49.9",6.00,"PSEMEN",,
28.00,8/28/2014 0:00:00,"EF",46.75,-113.84,"Forest","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",,"90",1802.00,"Habitat changed from deciduous forest.",3.00,4.00,2.00,22.00,"25.8",3.00,"ABILAS",,
29.00,8/28/2014 0:00:00,"EF",46.75,-113.84,"Forest","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",,"150",1756.00,"Habitat changed from deciduous forest. Plot moved off road.",9.00,10.00,9.00,14.00,"34.9",11.00,"PSEMEN",,
35.00,8/20/2015 0:00:00,"LS",46.75,-113.89,"0","FMC","0","136",2080.83,"0",12.00,13.00,5.00,11.00,"10.25",7.00,"PSEMEN","0","3"
36.00,8/20/2015 0:00:00,"MD",46.75,-113.89,"0","FMC","0","171",2052.17,"0",6.00,14.00,21.00,12.00,"13.25",17.00,"PSEMEN","0","3"
37.00,8/20/2015 0:00:00,"LS",46.75,-113.88,"0","FMC","0","192",2116.28,"0",5.00,7.00,15.00,20.00,"11.75",6.00,"PSEMEN","0","4"
39.00,8/20/2015 0:00:00,"MD",46.75,-113.88,"0","FMC","0","122",1958.00,"0",11.00,6.00,19.00,12.00,"12",6.00,"PSEMEN","0","2"
40.00,8/19/2015 0:00:00,"MD",46.32,-113.89,"0","MFDSF","0","160",2340.22,"plot moved down and out of burn",21.00,24.00,18.00,24.00,"21.75",13.00,"ABILAS","PINCON","2"
41.00,8/19/2015 0:00:00,"JM",46.31,-113.89,"0","MFDSF","0","142",2320.09,"0",24.00,5.00,11.00,17.00,"14.25",6.00,"ABILAS","PINCON","3"
42.00,8/19/2015 0:00:00,"EF",46.31,-113.89,"0","MFDSF","0","125",2235.34,"0",8.00,14.00,21.00,15.00,"14.5",13.00,"ABILAS","PINCON","2"
43.00,8/19/2015 0:00:00,"LS",46.31,-113.90,"0","MFDSF","0","154",2256.79,"0",16.00,14.00,24.00,8.00,"15.5",10.00,"ABILAS","PINCON","4"
