"IndivYr","Date","AvgGHerb"
"140040-14",2014-07-01,0.20918190889856
"140040-14",2014-07-02,0.80751789632021
"140040-14",2014-07-03,0.786847180004753
"140040-14",2014-07-04,0.423350223324104
"140040-14",2014-07-05,0.310216512925077
"140040-14",2014-07-06,0.475361639312248
"140040-14",2014-07-07,0.065520909934796
"140040-14",2014-07-08,0.0364160762723161
"140040-14",2014-07-09,0.15071522269876
"140040-14",2014-07-10,0.11925213582242
"140040-14",2014-07-11,0.23701926402386
"140040-14",2014-07-12,0.344236287940322
"140040-14",2014-07-13,0.349305406415448
"140040-14",2014-07-14,0.142197743079058
"140040-14",2014-07-15,0.173402623078551
"140040-14",2014-07-16,0.359242796802818
"140040-14",2014-07-17,0.759256425186308
"140040-14",2014-07-18,0.801906270964974
"140040-14",2014-07-19,1.31265412842851
"140040-14",2014-07-20,1.331256165531
"140040-14",2014-07-21,0.675489961671754
"140040-14",2014-07-22,0.76756732309631
"140040-14",2014-07-23,0.036958457275473
"140040-14",2014-07-24,0.454252268834025
"140040-14",2014-07-25,1.03377324894885
"140040-14",2014-07-26,0.376503104331314
"140040-14",2014-07-27,0.876667264822766
"140040-14",2014-07-28,0.390854805616918
"140040-14",2014-07-29,0.870500096914377
"140040-14",2014-07-30,0.971577842693032
"140040-14",2014-07-31,0.230676022339545
"140040-14",2014-08-01,0.425833724233679
"140040-14",2014-08-02,0.891217454479887
"140040-14",2014-08-03,0.198683998698844
"140040-14",2014-08-04,0.112930525183122
"140040-14",2014-08-05,0.182398547973185
"140040-14",2014-08-06,0.00416495281570517
"140040-14",2014-08-07,0.236412437102476
"140040-14",2014-08-08,0.582754360076119
"140040-14",2014-08-09,0.999036572183899
"140040-14",2014-08-10,1.12383006468124
"140040-14",2014-08-11,0.354791362431797
"140040-14",2014-08-12,0.196329333254861
"140040-14",2014-08-13,0.0857085297573956
"140040-14",2014-08-14,0.497641749220413
"140040-14",2014-08-15,0.148685841744474
"140040-14",2014-08-16,0.255771363837262
"140040-14",2014-08-17,0.484984693254378
"140040-14",2014-08-18,0.247690321169312
"140040-14",2014-08-19,0.271816490140002
"140040-14",2014-08-20,0.301689331323393
"140040-14",2014-08-21,0.197354672845752
"140040-14",2014-08-22,0.417594327041361
"140040-14",2014-08-23,0.799291221927492
"140040-14",2014-08-24,0.91435977780826
"140040-14",2014-08-25,0.994136309853966
"140040-14",2014-08-26,0.74497551458213
"140040-14",2014-08-27,0.658060999660222
"140040-14",2014-08-28,0.288688517066686
"140040-14",2014-08-29,0.917924135338972
"140040-14",2014-08-30,0.242541479411132
"140040-14",2014-08-31,0.258519994377121
"140050-14",2014-07-01,1.29419291998217
"140050-14",2014-07-02,1.22212736778675
"140050-14",2014-07-03,1.28810681289168
"140050-14",2014-07-04,1.1379550861111
"140050-14",2014-07-05,1.1097251977627
"140050-14",2014-07-06,1.15127259487372
"140050-14",2014-07-07,1.17901772523928
"140050-14",2014-07-08,1.23381960851718
"140050-14",2014-07-09,1.43185348601806
"140050-14",2014-07-10,1.41048700846306
"140050-14",2014-07-11,1.3898122518881
"140050-14",2014-07-12,1.48305387710142
"140050-14",2014-07-13,1.46603511209491
"140050-14",2014-07-14,1.55378362296587
"140050-14",2014-07-15,1.40565231228361
"140050-14",2014-07-16,1.1676900264352
"140050-14",2014-07-17,1.30308408011348
"140050-14",2014-07-18,0.91008945920925
"140050-14",2014-07-19,0.999494142537545
"140050-14",2014-07-20,1.24314318076327
"140050-14",2014-07-21,1.03900844328132
"140050-14",2014-07-22,0.80323527729051
"140050-14",2014-07-23,0.681926078879231
"140050-14",2014-07-24,0.749652826760243
"140050-14",2014-07-25,0.749890411906243
"140050-14",2014-07-26,-0.0161531262566147
"140050-14",2014-07-27,0.171694429444315
"140050-14",2014-07-28,0.822910017292986
"140050-14",2014-07-29,0.534087854429373
"140050-14",2014-07-30,0.892284001541373
"140050-14",2014-07-31,1.52745675608566
"140050-14",2014-08-01,1.4211396150117
"140050-14",2014-08-02,1.2809841256763
"140050-14",2014-08-03,1.44063770791044
"140050-14",2014-08-04,1.34475921108285
"140050-14",2014-08-05,1.48829897296859
"140050-14",2014-08-06,1.20936795880688
"140050-14",2014-08-07,1.40434393029141
"140050-14",2014-08-08,1.31118132548308
"140050-14",2014-08-09,1.3142286129964
"140050-14",2014-08-10,1.51178636393846
"140050-14",2014-08-11,1.28199306486518
"140050-14",2014-08-12,1.4873358690593
"140050-14",2014-08-13,1.40187958143009
"140050-14",2014-08-14,1.30667155593995
"140050-14",2014-08-15,1.31221214856208
"140050-14",2014-08-16,1.30245337801356
"140050-14",2014-08-17,1.32868989162278
"140050-14",2014-08-18,1.37227961110939
"140050-14",2014-08-19,1.26575487723793
"140050-14",2014-08-20,1.34447239498481
"140050-14",2014-08-21,1.30573801626185
"140050-14",2014-08-22,1.27676963678203
"140050-14",2014-08-23,1.17283077611212
"140050-14",2014-08-24,1.21993832537521
"140050-14",2014-08-25,0.781036535359178
"140050-14",2014-08-26,0.628602675360078
"140050-14",2014-08-27,1.0964788689533
"140050-14",2014-08-28,1.30539762237849
"140050-14",2014-08-29,1.39299231535028
"140050-14",2014-08-30,1.24425547102361
"140050-14",2014-08-31,0.943358957647238
"140060-14",2014-07-01,1.31434537173293
"140060-14",2014-07-02,1.07195617395434
"140060-14",2014-07-03,1.12140336345546
"140060-14",2014-07-04,0.987946404322955
"140060-14",2014-07-05,1.1666593662146
"140060-14",2014-07-06,1.03695461029382
"140060-14",2014-07-07,1.01253933361119
"140060-14",2014-07-08,1.02767799490563
"140060-14",2014-07-09,0.878550863066463
"140060-14",2014-07-10,0.743869279041229
"140060-14",2014-07-11,1.25267566886773
"140060-14",2014-07-12,1.14496088367192
"140060-14",2014-07-13,1.18987475036242
"140060-14",2014-07-14,1.29900628431726
"140060-14",2014-07-15,1.29456010225451
"140060-14",2014-07-16,1.46794638847288
"140060-14",2014-07-17,1.42892769203882
"140060-14",2014-07-18,1.39913340276525
"140060-14",2014-07-19,1.34469325689868
"140060-14",2014-07-20,1.36933513239557
"140060-14",2014-07-21,1.53048537192135
"140060-14",2014-07-22,1.30214539148349
"140060-14",2014-07-23,1.33603954259969
"140060-14",2014-07-24,1.24046139613439
"140060-14",2014-07-25,1.25074538726943
"140060-14",2014-07-26,1.30094208688241
"140060-14",2014-07-27,1.27644815225548
"140060-14",2014-07-28,1.18151797346994
"140060-14",2014-07-29,1.04817593860447
"140060-14",2014-07-30,1.22787441490106
"140060-14",2014-07-31,1.22229799072855
"140060-14",2014-08-01,1.2509210474825
"140060-14",2014-08-02,1.30418381301592
"140060-14",2014-08-03,1.35536555402598
"140060-14",2014-08-04,1.60371586110859
"140060-14",2014-08-05,1.24655132144483
"140060-14",2014-08-06,1.19779041946206
"140060-14",2014-08-07,1.15124037254967
"140060-14",2014-08-08,1.43510046152768
"140060-14",2014-08-09,1.27031137100723
"140060-14",2014-08-10,1.20357020872962
"140060-14",2014-08-11,1.30927877039686
"140060-14",2014-08-12,1.26670743401103
"140060-14",2014-08-13,1.34115436668879
"140060-14",2014-08-14,1.65031701220989
"140060-14",2014-08-15,1.25391842710487
"140060-14",2014-08-16,1.55805182900395
"140060-14",2014-08-17,1.11918387626294
"140060-14",2014-08-18,1.13145414319435
"140060-14",2014-08-19,1.32414915306292
"140060-14",2014-08-20,1.31316268394051
"140060-14",2014-08-21,1.47510168666711
"140060-14",2014-08-22,1.60206506895721
"140060-14",2014-08-23,1.53363715161525
"140060-14",2014-08-24,1.33027055327269
