"IndivYr","Date","AvgGShrub"
"140040-14",2014-07-01,1.99863261951219
"140040-14",2014-07-02,0.665045075395058
"140040-14",2014-07-03,0.585050161209682
"140040-14",2014-07-04,0.973771170116831
"140040-14",2014-07-05,0.842887826862599
"140040-14",2014-07-06,1.46836236794164
"140040-14",2014-07-07,0.893850511313984
"140040-14",2014-07-08,0.888152461314564
"140040-14",2014-07-09,0.69093543545924
"140040-14",2014-07-10,0.95860335386862
"140040-14",2014-07-11,0.640563488201184
"140040-14",2014-07-12,0.789253979268027
"140040-14",2014-07-13,0.722811313053483
"140040-14",2014-07-14,1.23004666488497
"140040-14",2014-07-15,0.857376138061085
"140040-14",2014-07-16,0.654903380831859
"140040-14",2014-07-17,0.750928609537073
"140040-14",2014-07-18,1.45436142133961
"140040-14",2014-07-19,0.0810893150835998
"140040-14",2014-07-20,-0.603236151716662
"140040-14",2014-07-21,1.37137610226343
"140040-14",2014-07-22,1.20899505915844
"140040-14",2014-07-23,2.11160018738544
"140040-14",2014-07-24,1.52087777417797
"140040-14",2014-07-25,1.09837433683353
"140040-14",2014-07-26,1.77542205663956
"140040-14",2014-07-27,1.50932381227124
"140040-14",2014-07-28,0.75360122294472
"140040-14",2014-07-29,0.181092720829061
"140040-14",2014-07-30,0.276078802145018
"140040-14",2014-07-31,1.53526583695779
"140040-14",2014-08-01,1.21678822653536
"140040-14",2014-08-02,1.0822665518241
"140040-14",2014-08-03,2.28696726761842
"140040-14",2014-08-04,2.08701757770111
"140040-14",2014-08-05,2.14866758739071
"140040-14",2014-08-06,2.31846530838629
"140040-14",2014-08-07,2.08646017546776
"140040-14",2014-08-08,1.7805984353755
"140040-14",2014-08-09,0.779326902156807
"140040-14",2014-08-10,0.955400923332371
"140040-14",2014-08-11,2.10573268790301
"140040-14",2014-08-12,2.06657353811557
"140040-14",2014-08-13,2.24958207123013
"140040-14",2014-08-14,1.7002875587764
"140040-14",2014-08-15,1.91082411760793
"140040-14",2014-08-16,1.82666306946486
"140040-14",2014-08-17,1.89703337680152
"140040-14",2014-08-18,1.95316906697876
"140040-14",2014-08-19,2.22731986207843
"140040-14",2014-08-20,2.09369894835652
"140040-14",2014-08-21,2.35573844165545
"140040-14",2014-08-22,1.73141843594417
"140040-14",2014-08-23,1.60911206518706
"140040-14",2014-08-24,0.996204101814568
"140040-14",2014-08-25,1.25231989722948
"140040-14",2014-08-26,1.79203787190291
"140040-14",2014-08-27,2.2224273329395
"140040-14",2014-08-28,2.17481938707187
"140040-14",2014-08-29,1.57974465357206
"140040-14",2014-08-30,1.74014031497067
"140040-14",2014-08-31,1.84890184239824
"140050-14",2014-07-01,0.0221067836167744
"140050-14",2014-07-02,0.113308391320458
"140050-14",2014-07-03,-0.686941307449557
"140050-14",2014-07-04,0.0594136397337685
"140050-14",2014-07-05,1.27757497394035
"140050-14",2014-07-06,0.740999230175878
"140050-14",2014-07-07,0.756181487408605
"140050-14",2014-07-08,-0.373639418969674
"140050-14",2014-07-09,-0.90916438065877
"140050-14",2014-07-10,-0.363844152918931
"140050-14",2014-07-11,-0.655715036401934
"140050-14",2014-07-12,-1.08923499816245
"140050-14",2014-07-13,-0.821139643439343
"140050-14",2014-07-14,-1.04009213272205
"140050-14",2014-07-15,-0.656372459377401
"140050-14",2014-07-16,0.627798435514828
"140050-14",2014-07-17,-0.0373543798139274
"140050-14",2014-07-18,1.32473782733872
"140050-14",2014-07-19,0.93142439057762
"140050-14",2014-07-20,0.0689580209978562
"140050-14",2014-07-21,0.912508756360219
"140050-14",2014-07-22,1.2368546979938
"140050-14",2014-07-23,1.09750750847361
"140050-14",2014-07-24,1.2084204791817
"140050-14",2014-07-25,1.78556575843988
"140050-14",2014-07-26,2.28287106893372
"140050-14",2014-07-27,1.72490262340436
"140050-14",2014-07-28,1.42317794679987
