"PlotVisit","DE","PlotID","Date","Latitude","Longitude","Area","Season"
"BM1.2012-07-24",3.02569940667917,"BM1","07/24/2012",45.79171,-113.96232,"Sbroot","Summer"
"BM10.2012-08-25",2.96553247949551,"BM10","08/25/2012",45.68245,-113.69832,"Sbroot","Summer"
"BM100.2013-08-01",2.42725126273522,"BM100","08/01/2013",45.95296,-113.81843,"Sbroot","Summer"
"BM1005.2013-08-21",3.02815816803671,"BM1005","08/21/2013",45.51158,-114.37947,"Sbroot","Summer"
"BM1006.2013-08-28",2.64449403870207,"BM1006","08/28/2013",45.54892,-114.41859,"Sbroot","Summer"
"BM1008.2013-08-20",3.04853033480927,"BM1008","08/20/2013",45.54109,-114.40328,"Sbroot","Summer"
"BM1009.2013-08-20",3.10850382398616,"BM1009","08/20/2013",45.54399,-114.39455,"Sbroot","Summer"
"BM1010.2013-08-20",3.01691956047331,"BM1010","08/20/2013",45.52497,-114.34617,"Sbroot","Summer"
"BM1012.2013-08-20",3.01397399423283,"BM1012","08/20/2013",45.52572,-114.35263,"Sbroot","Summer"
"BM1014.2013-08-28",2.87887228265608,"BM1014","08/28/2013",45.54112,-114.41985,"Sbroot","Summer"
"BM1016.2013-08-21",2.99554212487115,"BM1016","08/21/2013",45.54675,-114.32523,"Sbroot","Summer"
"BM1021.2013-08-27",2.37984872009286,"BM1021","08/27/2013",45.53263,-114.26208,"Sbroot","Summer"
"BM1023.2013-08-27",3.24110632880914,"BM1023","08/27/2013",45.54001,-114.27951,"Sbroot","Summer"
"BM1024.2013-08-27",3.10120541454514,"BM1024","08/27/2013",45.54216,-114.27552,"Sbroot","Summer"
"BM1026-1.2013-08-26",2.53338804393581,"BM1026-1","08/26/2013",45.548181,-114.18591,"Sbroot","Summer"
"BM1026.2013-08-26",2.17952890149914,"BM1026","08/26/2013",45.54934,-114.18343,"Sbroot","Summer"
"BM1028.2013-08-27",3.10401671607955,"BM1028","08/27/2013",45.52693,-114.28176,"Sbroot","Summer"
"BM1031.2013-08-27",3.09754261692139,"BM1031","08/27/2013",45.53143,-114.2634,"Sbroot","Summer"
"BM1033.2013-08-26",2.57762043674039,"BM1033","08/26/2013",45.55054,-114.1897,"Sbroot","Summer"
"BM111.2012-08-23",2.76485968769773,"BM111","08/23/2012",45.67508,-113.71011,"Sbroot","Summer"
"BM112.2012-08-21",3.24033070503974,"BM112","08/21/2012",45.72871,-113.54816,"Sbroot","Summer"
"BM115.2013-08-05",2.83752784173299,"BM115","08/05/2013",46.0141,-113.88435,"Sbroot","Summer"
"BM119.2013-08-06",3.18381494348283,"BM119","08/06/2013",45.8344,-113.38154,"Sbroot","Summer"
"BM12.2013-07-10",2.99087275838969,"BM12","07/10/2013",45.69813,-114.31899,"Sbroot","Summer"
"BM120.2012-08-08",3.04125621437955,"BM120","08/08/2012",45.92934,-113.74804,"Sbroot","Summer"
"BM127.2013-07-09",3.08323232947105,"BM127","07/09/2013",45.54089,-114.34489,"Sbroot","Summer"
"BM13.2013-07-14",2.44486369264388,"BM13","07/14/2013",45.68743,-113.89495,"Sbroot","Summer"
"BM130.2012-08-21",2.95958594386066,"BM130","08/21/2012",45.81133,-113.44565,"Sbroot","Summer"
"BM134.2012-08-02",3.07483640672013,"BM134","08/02/2012",45.89502,-113.92062,"Sbroot","Summer"
"BM136-1.2013-08-12",2.21258974859929,"BM136-1","08/12/2013",45.7764,-113.78043,"Sbroot","Summer"
"BM136.2013-08-12",2.64614064186976,"BM136","08/12/2013",45.77637,-113.78332,"Sbroot","Summer"
"BM140.2012-08-10",2.98727671125774,"BM140","08/10/2012",45.67277,-114.27487,"Sbroot","Summer"
"BM148.2013-07-15",2.27796506925702,"BM148","07/15/2013",45.72463,-114.5036,"Sbroot","Summer"
"BM149-1.2013-08-05",2.17952890149914,"BM149-1","08/05/2013",46.04929,-113.83402,"Sbroot","Summer"
"BM149-2.2013-08-05",2.17952890149914,"BM149-2","08/05/2013",46.04047,-113.83355,"Sbroot","Summer"
"BM154.2013-08-01",2.36787166457928,"BM154","08/01/2013",45.95199,-113.81532,"Sbroot","Summer"
"BM157.2012-08-27",2.53611107470918,"BM157","08/27/2012",45.82219,-113.48348,"Sbroot","Summer"
"BM158.2013-08-13",3.25768949696289,"BM158","08/13/2013",45.72009,-113.47897,"Sbroot","Summer"
"BM162.2013-07-24",2.75070279164145,"BM162","07/24/2013",46.10559,-113.863566,"Sbroot","Summer"
"BM165.2012-08-25",3.02711513417433,"BM165","08/25/2012",45.89424,-113.31515,"Sbroot","Summer"
"BM170.2013-08-10",2.94520489748135,"BM170","08/10/2013",45.82666,-113.2815,"Sbroot","Summer"
"BM171-1.2013-08-07",3.04653797273994,"BM171-1","08/07/2013",45.82199,-113.47311,"Sbroot","Summer"
"BM171.2012-08-27",3.03547190971475,"BM171","08/27/2012",45.8219,-113.47333,"Sbroot","Summer"
"BM185.2012-08-09",2.64290960244949,"BM185","08/09/2012",45.83988,-114.11044,"Sbroot","Summer"
"BM186.2013-08-13",3.01511267708388,"BM186","08/13/2013",45.67957,-113.61889,"Sbroot","Summer"
"BM189.2012-08-22",2.95444427026553,"BM189","08/22/2012",45.7195,-114.07998,"Sbroot","Summer"
"BM19.2013-07-10",2.82153297553985,"BM19","07/10/2013",45.69221,-114.26115,"Sbroot","Summer"
"BM196.2012-08-27",3.23711187568487,"BM196","08/27/2012",45.87558,-113.29582,"Sbroot","Summer"
"BM198.2013-07-29",3.02436332838294,"BM198","07/29/2013",45.99418,-113.9736,"Sbroot","Summer"
"BM2.2012-07-25",3.06437496369993,"BM2","07/25/2012",45.80344,-113.95757,"Sbroot","Summer"
"BM207.2013-07-29",3.0353542860981,"BM207","07/29/2013",45.87028,-113.84673,"Sbroot","Summer"
"BM208.2012-08-28",2.98892943770219,"BM208","08/28/2012",45.86422,-114.16702,"Sbroot","Summer"
"BM218.2013-07-15",2.33859069210267,"BM218","07/15/2013",45.71759,-114.52444,"Sbroot","Summer"
"BM22.2012-08-25",3.09002638380127,"BM22","08/25/2012",45.66733,-113.84516,"Sbroot","Summer"
"BM224.2013-07-22",2.88786026112659,"BM224","07/22/2013",45.8371,-113.81304,"Sbroot","Summer"
"BM225-2.2013-08-08",3.0087562150381,"BM225-2","08/08/2013",45.65355,-114.37318,"Sbroot","Summer"
"BM225.2013-08-08",2.23535564068303,"BM225","08/08/2013",45.60476,-114.36329,"Sbroot","Summer"
"BM227.2013-07-31",2.63477625846505,"BM227","07/31/2013",45.97296,-113.85207,"Sbroot","Summer"
"BM234.2012-08-02",2.83878031542301,"BM234","08/02/2012",45.88476,-113.93751,"Sbroot","Summer"
"BM239.2012-08-08",3.03250730712054,"BM239","08/08/2012",45.93911,-113.75231,"Sbroot","Summer"
"BM24.2013-07-09",3.03047136739961,"BM24","07/09/2013",45.54857,-114.33978,"Sbroot","Summer"
"BM248.2013-07-16",3.03467361071923,"BM248","07/16/2013",46.02055,-114.04216,"Sbroot","Summer"
"BM253.2012-08-28",3.01320954833648,"BM253","08/28/2012",45.86073,-114.16134,"Sbroot","Summer"
"BM258.2013-08-11",2.68065520978487,"BM258","08/11/2013",45.55159,-114.27656,"Sbroot","Summer"
"BM261.2012-08-10",3.04304293012349,"BM261","08/10/2012",45.722,-114.26526,"Sbroot","Summer"
"BM263-1.2013-08-05",3.07371463957392,"BM263-1","08/05/2013",45.72473,-113.76715,"Sbroot","Summer"
"BM263.2013-08-15",3.22900264626581,"BM263","08/15/2013",45.72302,-113.76382,"Sbroot","Summer"
"BM270.2013-08-07",3.08395134335815,"BM270","08/07/2013",45.81149,-113.41689,"Sbroot","Summer"
