"PlotVisit","GDM","BIOMASS","PlotID","Date","Latitude","Longitude"
"10.2014-08-29",128.497,253.173,10,2014-08-29,46.57791,-113.82738
"1016.2015-08-26",38.945,62.456,1016,2015-08-26,46.45785,-113.76855
"1017.2015-08-26",49.145,81.431,1017,2015-08-26,46.45856,-113.76639
"1018.2015-08-26",14.707,22.606,1018,2015-08-26,46.457755,-113.7694
"1019.2015-08-26",56.724,97.063,1019,2015-08-26,46.45834,-113.76865
"1020.2015-08-26",22.434,38.824,1020,2015-08-26,46.45783,-113.76779
"1022.2015-07-28",27.401,39.505,1022,2015-07-28,46.41864,-113.69937
"1023.2015-07-28",9.893,14.433,1023,2015-07-28,46.41848,-113.70033
"1026.2015-07-29",37.262,73.55,1026,2015-07-29,46.45065,-113.6879
"1028.2015-07-29",55.363,109.279,1028,2015-07-29,46.45114,-113.68591
"1034.2015-07-28",17.243,25.922,1034,2015-07-28,46.50418,-113.74872
"1035.2015-07-28",49.008,76.781,1035,2015-07-28,46.5065,-113.75257
"1036.2015-07-17",46.541,66.843,1036,2015-07-17,46.55299,-113.8561
"1037.2015-07-17",22.952,33.011,1037,2015-07-17,46.55295,-113.8577
"1038.2015-07-17",56.024,87.641,1038,2015-07-17,46.55197,-113.85443
"1039.2015-07-17",25.65,38.613,1039,2015-07-17,46.5524,-113.85568
"1040.2015-07-17",8.418,12.046,1040,2015-07-17,46.55205,-113.85761
"1041.2015-08-13",134.065,194.958,1041,2015-08-13,46.16954,-113.95236
"1042.2015-08-13",48.853,78.617,1042,2015-08-13,46.17253,-113.95476
"1043.2015-08-13",0.436,0.623,1043,2015-08-13,46.17142,-113.95269
"1044.2015-08-13",150.871,282.637,1044,2015-08-13,46.17376,-113.95651
"1045.2015-08-13",65.339,93.991,1045,2015-08-13,46.17096,-113.95475
"1046.2015-08-04",3.801,9.434,1046,2015-08-04,46.43477,-113.8822
"1047.2015-08-04",1.386,2.276,1047,2015-08-04,46.43317,-113.88142
"1048.2015-08-04",21.315,52.899,1048,2015-08-04,46.43445,-113.87841
"1049.2015-08-04",30.958,74.579,1049,2015-08-04,46.43217,-113.87627
"1051.2015-08-24",48.791,72.303,1051,2015-08-24,46.73847,-113.74313
"1052.2015-08-24",105.862,198.417,1052,2015-08-24,46.73826,-113.74399
"1053.2015-08-24",344.738,551.413,1053,2015-08-24,46.73917,-113.74344
"1055.2015-08-24",97.11,185.826,1055,2015-08-24,46.73906,-113.74414
"1057.2015-07-27",14.811,36.759,1057,2015-07-27,46.41428,-113.6487
"1059.2015-07-27",12.585,24.899,1059,2015-07-27,46.41322,-113.65273
"106.2014-08-22",6.009,11.346,106,2014-08-22,46.69669,-113.75302
"1061.2015-07-29",25.729,62.617,1061,2015-07-29,46.44749,-113.68022
"1063.2015-07-29",28.853,71.577,1063,2015-07-29,46.4474,-113.67847
