"class_name","landcov","AvggShrub"
"Dry Ag","4",0
"Irrigated Ag","7",0
"Valley Bottom Riparian","5",7.22574855172662
"Mesic Forest Burn 0-5","10",21.4565353906257
"Montane Riparian","6",83.7081035748448
"Rx Dry Forest Burn 0-5","12",89.2121245359899
"Grass/Shrub/Open Woodland","3",101.383583291455
"Dry Forest (Burn >15)","2",101.557228755386
"Dry Forest Burn 6-15","9",113.668043313862
"Dry Forest Burn 0-5","8",119.053944108737
"Mesic Forest Burn 6-15","11",123.693525583769
"Mesic Forest (Burn >15)","1",149.97017106776
